Code Barang,Nama Barang,Month,Vendor,Stock,Harga,Subtotal,Keterangan,Nomor Rak,Kategori,Type,Unit,Saldo Awal,Saldo Akhir,Physical Stock,Difference,Remark,Petugas Opname,Status,Aksi
A1 ATAS,EXTRUSION LINE SML P3425 / LAYAR TOUCHSCREEN BESAR,December 2025,-,2.0,0.0,0.0,,,,,NIU,2.0,2.0,2.0,0.0,,,AMAN,
A1 ATAS,"INVERTER SHIHLIN PRESTRECH REWINDER SC3 2,2 KW 440V 3 PHASE",December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A1 ATAS,"INVERTER SHIHLIN SE3 5,5KW",December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A2 ATAS,SHOCK KAPILER DIAMETER DALAM 6MMX7MM,December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A2ATS,CAT PRIMER (DASAR) 1 KG,December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A2ATS,"CAT FINISING  NIPPON PAIN D-DEEP 2,5KG",December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A3ATAS,LCD PANEL 1 PK CN,December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A3ATAS,ENCODER DS/BC HS35F-62 R9-B9-1024-ABZC-28V-SM18-S,December 2025,-,0.0,0.0,0.0,,,,,PCE,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
A3ATS,HEIDENHAIN ENCODER EQN1325 51262S12-78,December 2025,-,0.0,0.0,0.0,sudah terpasang di ds/bc kita sudah tidak ada spare perlu beli baru di karenakan sudah tidak ada stock yang tersedia untuk backup.,,,,PCE,0.0,0.0,0.0,0.0,,,URGENT/HARUS SEGERA ORDER,
A3ATS,SERVO PARKER 208.500 3 PH AC 50/60HZ (REPAIR),December 2025,-,0.0,0.0,0.0,,,,,NIU,0.0,0.0,0.0,0.0,,,STOK HABIS / RE-ORDER,
